Variable code,,1110103,1110104,1110203,1110204,1110303,1110304,1110403,1110404,1110503,1110504,1110603,1110604,1110703,1110704,1120103,1120104,1120203,1120204,1120303,1120304,1120403,1120404,1120503,1120504,1120603,1120604,1120703,1120704,1310302,1310303,1410101,3100202,3100203,4100101,5100101,6100102,6100103,6210103,6210104,6210203,6210204,6210303,6210304,6210403,6210404,6210503,6210504,6210603,6210604,6210703,6210704,6220103,6220104,6220203,6220204,6220303,6220304,6220403,6220404,6220503,6220504,7100101,7100201
Year,Country,Top 10% income share-married couples & single adults,Top 10% income share-adults,Top 5% income share-married couples & single adults,Top 5% income share-adults,Top 1% income share-married couples & single adults,Top 1% income share-adults,Top 0.5% income share-married couples & single adults,Top 0.5% income share-adults,Top 0.1% income share-married couples & single adults,Top 0.1% income share-adults,Top 0.05% income share-married couples & single adults,Top 0.05% income share-adults,Top 0.01% income share-married couples & single adults,Top 0.01% income share-adults,Top 10-5% income share-married couples & single adults,Top 10-5% income share-adults,Top 5-1% income share-married couples & single adults,Top 5-1% income share-adults,Top 1-0.5% income share-married couples & single adults,Top 1-0.5% income share-adults,Top 0.5-0.1% income share-married couples & single adults,Top 0.5-0.1% income share-adults,Top 0.1-0.05% income share-married couples & single adults,Top 0.1-0.05% income share-adults,Top 0.05-0.01% income share-married couples & single adults,Top 0.05-0.01% income share-adults,Top 0.1-0.01% income share-married couples & single adults,Top 0.1-0.01% income share-adults,Top 1% income share-net of income tax-married couples & single adults,Top 1% income share-net of income tax-adults,Income reduction as a result of income tax (Top 1%),Number of tax units-married couples & single adults,Number of tax units-adults,Income control,Price index,Average income per tax unit-married couples & single adults,Average income per tax unit-adults,Top 10% average income-married couples & single adults,Top 10% average income-adults,Top 5% average income-married couples & single adults,Top 5% average income-adults,Top 1% average income-married couples & single adults,Top 1% average income-adults,Top 0.5% average income-married couples & single adults,Top 0.5% average income-adults,Top 0.1% average income-married couples & single adults,Top 0.1% average income-adults,Top 0.01% average income-married couples & single adults,Top 0.01% average income-adults,Bottom 90% average income-married couples & single adults,Bottom 90% average income-adults,Top 10-5% average income-married couples & single adults,Top 10-5% average income-adults,Top 5-1% average income-married couples & single adults,Top 5-1% average income-adults,Top 1-0.5% average income-married couples & single adults,Top 1-0.5% average income-adults,Top 0.5-0.1% average income-married couples & single adults,Top 0.5-0.1% average income-adults,Top 0.1-0.01% average income-married couples & single adults,Top 0.1-0.01% average income-adults,Pareto-Lorenz coefficient,Inverted Pareto-Lorenz coefficient
1920,United Kingdom,,,,,,,,,8.03,,6.06,,2.94,,,,,,,,,,1.97,,3.12,,5.09,,,,,23896.267,,4343.13412,0.0272657,6665.86,,,,,,,,,,535268.45,,1959762.43,,,,,,,,,,,,376991.34,,,
1921,United Kingdom,,,,,,,,,8.08,,6.04,,2.9,,,,,,,,,,2.04,,3.14,,5.18,,,,,22525.213,,3769.7437,0.0248948,6722.56,,,,,,,,,,543182.45,,1949540.98,,,,,,,,,,,,386920.39,,,
1922,United Kingdom,,,,,,,,,9.07,,6.78,,3.23,,,,,,,,,,2.29,,3.55,,5.84,,,,,22778.252,,3473.5035,0.0214462,7110.46,,,,,,,,,,644918.73,,2296678.6,,,,,,,,,,,,461389.85,,,
1923,United Kingdom,,,,,,,,,9.29,,6.95,,3.34,,,,,,,,,,2.34,,3.61,,5.95,,,,,22996.547,,3434.10204,0.0201529,7409.9,,,,,,,,,,688379.8,,2474906.92,,,,,,,,,,,,489876.79,,,
1924,United Kingdom,,,,,,,,,9.05,,6.74,,3.23,,,,,,,,,,2.31,,3.51,,5.82,,,,,23262.482,,3552.64434,0.0200452,7618.79,,,,,,,,,,689500.76,,2460870.11,,,,,,,,,,,,492681.94,,,
1925,United Kingdom,,,,,,,,,8.79,,6.53,,3.13,,,,,,,,,,2.26,,3.4,,5.66,,,,,23436.236,,3635.38333,0.0200452,7738.43,,,,,,,,,,680207.97,,2422128.5,,,,,,,,,,,,486661.25,,,
1926,United Kingdom,,,,,,,,,8.67,,6.42,,3.07,,,,,,,,,,2.25,,3.35,,5.6,,,,,23626.29,,3628.48615,0.0199374,7703.03,,,,,,,,,,667852.8,,2364830.57,,,,,,,,,,,,479299.72,,,
1927,United Kingdom,,,,,,,,,8.49,,6.28,,3.01,,,,,,,,,,2.21,,3.27,,5.48,,,,,23811.861,,3760.8765,0.0193985,8141.92,,,,,,,,,,691248.74,,2450716.96,,,,,,,,,,,,495752.27,,,
1928,United Kingdom,,,,,,,,,8.54,,6.34,,3.04,,,,,,,,,,2.2,,3.3,,5.5,,,,,24013.957,,3846.44755,0.0193985,8257.09,,,,,,,,,,705155.47,,2510155.31,,,,,,,,,,,,504599.94,,,
1929,United Kingdom,,,,,,,,,8.33,,6.15,,2.93,,,,,,,,,,2.18,,3.22,,5.4,,,,,24163.998,,3896.40416,0.019183,8405.79,,,,,,,,,,700202.49,,2462897.12,,,,,,,,,,,,504347.53,,,
